SEX,GEO,TIME,AGE,UNIT,ISCED11,Value,FlagFootnotes
T,IE,2006,Y15-64,PC,ED3-8,64.8,
T,IE,2006,Y15-64,PC,ED3_4,37.0,
T,IE,2006,Y15-64,PC,ED5-8,27.7,
T,IE,2007,Y15-64,PC,ED0-2,34.1,b
T,IE,2007,Y15-64,PC,ED3-8,65.9,b
T,IE,2007,Y15-64,PC,ED3_4,37.0,b
T,IE,2007,Y15-64,PC,ED5-8,28.9,b
T,IE,2008,Y15-64,PC,ED0-2,32.4,
T,IE,2008,Y15-64,PC,ED3-8,67.6,
T,IE,2008,Y15-64,PC,ED3_4,37.3,
T,IE,2008,Y15-64,PC,ED5-8,30.3,
T,IE,2009,Y15-64,PC,ED0-2,31.5,b
T,IE,2009,Y15-64,PC,ED3-8,68.5,b
T,IE,2009,Y15-64,PC,ED3_4,37.1,b
T,IE,2009,Y15-64,PC,ED5-8,31.4,b
T,IE,2010,Y15-64,PC,ED0-2,30.5,
T,IE,2010,Y15-64,PC,ED3-8,69.5,
T,IE,2010,Y15-64,PC,ED3_4,36.7,
T,IE,2010,Y15-64,PC,ED5-8,32.7,
T,IE,2011,Y15-64,PC,ED0-2,29.7,
T,IE,2011,Y15-64,PC,ED3-8,70.3,
T,IE,2011,Y15-64,PC,ED3_4,37.0,
T,IE,2011,Y15-64,PC,ED5-8,33.3,
T,IE,2012,Y15-64,PC,ED0-2,28.8,
T,IE,2012,Y15-64,PC,ED3-8,71.2,
T,IE,2012,Y15-64,PC,ED3_4,36.5,
T,IE,2012,Y15-64,PC,ED5-8,34.7,
T,IE,2013,Y15-64,PC,ED0-2,27.2,
T,IE,2013,Y15-64,PC,ED3-8,72.8,
T,IE,2013,Y15-64,PC,ED3_4,36.4,
T,IE,2013,Y15-64,PC,ED5-8,36.3,
T,IE,2014,Y15-64,PC,ED0-2,25.6,b
T,IE,2014,Y15-64,PC,ED3-8,74.4,b
T,IE,2014,Y15-64,PC,ED3_4,38.6,b
T,IE,2014,Y15-64,PC,ED5-8,35.8,b
T,IE,2015,Y15-64,PC,ED0-2,24.9,
T,IE,2015,Y15-64,PC,ED3-8,75.1,
T,IE,2015,Y15-64,PC,ED3_4,37.7,
T,IE,2015,Y15-64,PC,ED5-8,37.4,
T,EL,2006,Y15-64,PC,ED0-2,41.4,
T,EL,2006,Y15-64,PC,ED3-8,58.6,
T,EL,2006,Y15-64,PC,ED3_4,39.9,
T,EL,2006,Y15-64,PC,ED5-8,18.7,
T,EL,2007,Y15-64,PC,ED0-2,40.8,
T,EL,2007,Y15-64,PC,ED3-8,59.2,
T,EL,2007,Y15-64,PC,ED3_4,40.1,
T,EL,2007,Y15-64,PC,ED5-8,19.1,
T,EL,2008,Y15-64,PC,ED0-2,39.7,
T,EL,2008,Y15-64,PC,ED3-8,60.3,
T,EL,2008,Y15-64,PC,ED3_4,40.5,
T,EL,2008,Y15-64,PC,ED5-8,19.8,
T,EL,2009,Y15-64,PC,ED0-2,39.6,b
T,EL,2009,Y15-64,PC,ED3-8,60.4,b
T,EL,2009,Y15-64,PC,ED3_4,40.5,b
T,EL,2009,Y15-64,PC,ED5-8,19.9,b
T,EL,2010,Y15-64,PC,ED0-2,38.5,
T,EL,2010,Y15-64,PC,ED3-8,61.5,
T,EL,2010,Y15-64,PC,ED3_4,40.6,
T,EL,2010,Y15-64,PC,ED5-8,20.9,
T,EL,2011,Y15-64,PC,ED0-2,37.1,
T,EL,2011,Y15-64,PC,ED3-8,62.9,
T,EL,2011,Y15-64,PC,ED3_4,40.7,
T,EL,2011,Y15-64,PC,ED5-8,22.2,
T,EL,2012,Y15-64,PC,ED0-2,35.9,
T,EL,2012,Y15-64,PC,ED3-8,64.1,
T,EL,2012,Y15-64,PC,ED3_4,41.3,
T,EL,2012,Y15-64,PC,ED5-8,22.9,
T,EL,2013,Y15-64,PC,ED0-2,34.5,
T,EL,2013,Y15-64,PC,ED3-8,65.5,
T,EL,2013,Y15-64,PC,ED3_4,41.4,
T,EL,2013,Y15-64,PC,ED5-8,24.0,
T,EL,2014,Y15-64,PC,ED0-2,33.1,b
T,EL,2014,Y15-64,PC,ED3-8,66.9,b
T,EL,2014,Y15-64,PC,ED3_4,42.2,b
T,EL,2014,Y15-64,PC,ED5-8,24.6,b
T,EL,2015,Y15-64,PC,ED0-2,31.5,
T,EL,2015,Y15-64,PC,ED3-8,68.5,
T,EL,2015,Y15-64,PC,ED3_4,43.0,
T,EL,2015,Y15-64,PC,ED5-8,25.4,
T,ES,2006,Y15-64,PC,ED0-2,50.9,
T,ES,2006,Y15-64,PC,ED3-8,49.1,
T,ES,2006,Y15-64,PC,ED3_4,22.8,
T,ES,2006,Y15-64,PC,ED5-8,26.4,
T,ES,2007,Y15-64,PC,ED0-2,50.1,
T,ES,2007,Y15-64,PC,ED3-8,49.9,
T,ES,2007,Y15-64,PC,ED3_4,23.1,
T,ES,2007,Y15-64,PC,ED5-8,26.8,
T,ES,2008,Y15-64,PC,ED0-2,49.8,
T,ES,2008,Y15-64,PC,ED3-8,50.2,
T,ES,2008,Y15-64,PC,ED3_4,23.1,
T,ES,2008,Y15-64,PC,ED5-8,27.0,
T,ES,2009,Y15-64,PC,ED0-2,49.5,
T,ES,2009,Y15-64,PC,ED3-8,50.5,
T,ES,2009,Y15-64,PC,ED3_4,23.2,
T,ES,2009,Y15-64,PC,ED5-8,27.4,
T,ES,2010,Y15-64,PC,ED0-2,48.1,
T,ES,2010,Y15-64,PC,ED3-8,51.9,
T,ES,2010,Y15-64,PC,ED3_4,23.4,
T,ES,2010,Y15-64,PC,ED5-8,28.4,
T,ES,2011,Y15-64,PC,ED0-2,47.0,
T,ES,2011,Y15-64,PC,ED3-8,53.0,
T,ES,2011,Y15-64,PC,ED3_4,23.7,
T,ES,2011,Y15-64,PC,ED5-8,29.3,
T,ES,2012,Y15-64,PC,ED0-2,46.4,
T,ES,2012,Y15-64,PC,ED3-8,53.6,
T,ES,2012,Y15-64,PC,ED3_4,23.6,
T,ES,2012,Y15-64,PC,ED5-8,30.0,
T,ES,2013,Y15-64,PC,ED0-2,45.6,
T,ES,2013,Y15-64,PC,ED3-8,54.4,
T,ES,2013,Y15-64,PC,ED3_4,23.5,
T,ES,2013,Y15-64,PC,ED5-8,30.9,
T,ES,2014,Y15-64,PC,ED0-2,44.5,b
T,ES,2014,Y15-64,PC,ED3-8,55.5,b
T,ES,2014,Y15-64,PC,ED3_4,23.9,b
T,ES,2014,Y15-64,PC,ED5-8,31.7,b
T,ES,2015,Y15-64,PC,ED0-2,43.5,
T,ES,2015,Y15-64,PC,ED3-8,56.5,
T,ES,2015,Y15-64,PC,ED3_4,24.4,
T,ES,2015,Y15-64,PC,ED5-8,32.1,
T,FR,2006,Y15-64,PC,ED0-2,35.0,
T,FR,2006,Y15-64,PC,ED3-8,65.0,
T,FR,2006,Y15-64,PC,ED3_4,41.1,
T,FR,2006,Y15-64,PC,ED5-8,24.0,
T,FR,2007,Y15-64,PC,ED0-2,34.0,
T,FR,2007,Y15-64,PC,ED3-8,66.0,
T,FR,2007,Y15-64,PC,ED3_4,41.6,
T,FR,2007,Y15-64,PC,ED5-8,24.4,
T,FR,2008,Y15-64,PC,ED0-2,33.0,
T,FR,2008,Y15-64,PC,ED3-8,67.0,
T,FR,2008,Y15-64,PC,ED3_4,42.3,
T,FR,2008,Y15-64,PC,ED5-8,24.8,
T,FR,2009,Y15-64,PC,ED0-2,32.4,
T,FR,2009,Y15-64,PC,ED3-8,67.6,
T,FR,2009,Y15-64,PC,ED3_4,41.8,
T,FR,2009,Y15-64,PC,ED5-8,25.9,
T,FR,2010,Y15-64,PC,ED0-2,31.9,
T,FR,2010,Y15-64,PC,ED3-8,68.1,
T,FR,2010,Y15-64,PC,ED3_4,41.9,
T,FR,2010,Y15-64,PC,ED5-8,26.2,
T,FR,2011,Y15-64,PC,ED0-2,31.2,
T,FR,2011,Y15-64,PC,ED3-8,68.8,
T,FR,2011,Y15-64,PC,ED3_4,42.0,
T,FR,2011,Y15-64,PC,ED5-8,26.7,
T,FR,2012,Y15-64,PC,ED0-2,30.4,
T,FR,2012,Y15-64,PC,ED3-8,69.6,
T,FR,2012,Y15-64,PC,ED3_4,41.9,
T,FR,2012,Y15-64,PC,ED5-8,27.7,
T,FR,2013,Y15-64,PC,ED0-2,28.0,b
T,FR,2013,Y15-64,PC,ED3-8,72.0,b
T,FR,2013,Y15-64,PC,ED3_4,43.1,b
T,FR,2013,Y15-64,PC,ED5-8,28.9,b
T,FR,2014,Y15-64,PC,ED0-2,26.5,b
T,FR,2014,Y15-64,PC,ED3-8,73.5,b
T,FR,2014,Y15-64,PC,ED3_4,43.7,b
T,FR,2014,Y15-64,PC,ED5-8,29.7,b
T,FR,2015,Y15-64,PC,ED0-2,26.0,
T,FR,2015,Y15-64,PC,ED3-8,74.0,
T,FR,2015,Y15-64,PC,ED3_4,43.6,
T,FR,2015,Y15-64,PC,ED5-8,30.4,
T,HR,2006,Y15-64,PC,ED0-2,28.3,
T,HR,2006,Y15-64,PC,ED3-8,71.7,
T,HR,2006,Y15-64,PC,ED3_4,58.2,
T,HR,2006,Y15-64,PC,ED5-8,13.6,
T,HR,2007,Y15-64,PC,ED0-2,26.7,
T,HR,2007,Y15-64,PC,ED3-8,73.3,
T,HR,2007,Y15-64,PC,ED3_4,59.9,
T,HR,2007,Y15-64,PC,ED5-8,13.4,
T,HR,2008,Y15-64,PC,ED0-2,25.9,
T,HR,2008,Y15-64,PC,ED3-8,74.1,
T,HR,2008,Y15-64,PC,ED3_4,60.5,
T,HR,2008,Y15-64,PC,ED5-8,13.6,
T,HR,2009,Y15-64,PC,ED0-2,25.3,
T,HR,2009,Y15-64,PC,ED3-8,74.7,
T,HR,2009,Y15-64,PC,ED3_4,60.2,
T,HR,2009,Y15-64,PC,ED5-8,14.5,
T,HR,2010,Y15-64,PC,ED0-2,25.4,b
T,HR,2010,Y15-64,PC,ED3-8,74.6,b
T,HR,2010,Y15-64,PC,ED3_4,58.8,b
T,HR,2010,Y15-64,PC,ED5-8,15.7,b
T,HR,2011,Y15-64,PC,ED0-2,24.6,
T,HR,2011,Y15-64,PC,ED3-8,75.4,
T,HR,2011,Y15-64,PC,ED3_4,60.0,
T,HR,2011,Y15-64,PC,ED5-8,15.4,
T,HR,2012,Y15-64,PC,ED0-2,23.1,
T,HR,2012,Y15-64,PC,ED3-8,76.9,
T,HR,2012,Y15-64,PC,ED3_4,61.1,
T,HR,2012,Y15-64,PC,ED5-8,15.8,
T,HR,2013,Y15-64,PC,ED0-2,22.4,
T,HR,2013,Y15-64,PC,ED3-8,77.6,
T,HR,2013,Y15-64,PC,ED3_4,60.5,
T,HR,2013,Y15-64,PC,ED5-8,17.0,
T,HR,2014,Y15-64,PC,ED0-2,20.8,b
T,HR,2014,Y15-64,PC,ED3-8,79.2,b
T,HR,2014,Y15-64,PC,ED3_4,60.7,b
T,HR,2014,Y15-64,PC,ED5-8,18.5,b
T,HR,2015,Y15-64,PC,ED0-2,20.3,
T,HR,2015,Y15-64,PC,ED3-8,79.7,
T,HR,2015,Y15-64,PC,ED3_4,60.1,
T,HR,2015,Y15-64,PC,ED5-8,19.6,
T,IT,2006,Y15-64,PC,ED0-2,49.5,
T,IT,2006,Y15-64,PC,ED3-8,50.5,
T,IT,2006,Y15-64,PC,ED3_4,39.1,
T,IT,2006,Y15-64,PC,ED5-8,11.4,
T,IT,2007,Y15-64,PC,ED0-2,48.7,
T,IT,2007,Y15-64,PC,ED3-8,51.3,
T,IT,2007,Y15-64,PC,ED3_4,39.3,
T,IT,2007,Y15-64,PC,ED5-8,12.0,
T,IT,2008,Y15-64,PC,ED0-2,47.9,
T,IT,2008,Y15-64,PC,ED3-8,52.1,
T,IT,2008,Y15-64,PC,ED3_4,39.5,
T,IT,2008,Y15-64,PC,ED5-8,12.7,
T,IT,2009,Y15-64,PC,ED0-2,47.1,
T,IT,2009,Y15-64,PC,ED3-8,52.9,
T,IT,2009,Y15-64,PC,ED3_4,40.1,
T,IT,2009,Y15-64,PC,ED5-8,12.8,
T,IT,2010,Y15-64,PC,ED0-2,46.3,
T,IT,2010,Y15-64,PC,ED3-8,53.7,
T,IT,2010,Y15-64,PC,ED3_4,40.7,
T,IT,2010,Y15-64,PC,ED5-8,13.0,
T,IT,2011,Y15-64,PC,ED0-2,45.5,
T,IT,2011,Y15-64,PC,ED3-8,54.5,
T,IT,2011,Y15-64,PC,ED3_4,41.4,
T,IT,2011,Y15-64,PC,ED5-8,13.2,
T,IT,2012,Y15-64,PC,ED0-2,44.2,
T,IT,2012,Y15-64,PC,ED3-8,55.8,
T,IT,2012,Y15-64,PC,ED3_4,41.9,
T,IT,2012,Y15-64,PC,ED5-8,13.9,
T,IT,2013,Y15-64,PC,ED0-2,43.4,
T,IT,2013,Y15-64,PC,ED3-8,56.6,
T,IT,2013,Y15-64,PC,ED3_4,42.2,
T,IT,2013,Y15-64,PC,ED5-8,14.4,
T,IT,2014,Y15-64,PC,ED0-2,42.3,b
T,IT,2014,Y15-64,PC,ED3-8,57.7,b
T,IT,2014,Y15-64,PC,ED3_4,42.7,b
T,IT,2014,Y15-64,PC,ED5-8,15.0,b
T,IT,2015,Y15-64,PC,ED0-2,41.9,
T,IT,2015,Y15-64,PC,ED3-8,58.1,
T,IT,2015,Y15-64,PC,ED3_4,42.7,
T,IT,2015,Y15-64,PC,ED5-8,15.5,
T,CY,2006,Y15-64,PC,ED0-2,33.6,
T,CY,2006,Y15-64,PC,ED3-8,66.4,
T,CY,2006,Y15-64,PC,ED3_4,38.8,
T,CY,2006,Y15-64,PC,ED5-8,27.6,
T,CY,2007,Y15-64,PC,ED0-2,31.1,
T,CY,2007,Y15-64,PC,ED3-8,68.9,
T,CY,2007,Y15-64,PC,ED3_4,39.1,
T,CY,2007,Y15-64,PC,ED5-8,29.7,
T,CY,2008,Y15-64,PC,ED0-2,30.4,
T,CY,2008,Y15-64,PC,ED3-8,69.6,
T,CY,2008,Y15-64,PC,ED3_4,38.6,
T,CY,2008,Y15-64,PC,ED5-8,31.0,
T,CY,2009,Y15-64,PC,ED0-2,31.2,b
T,CY,2009,Y15-64,PC,ED3-8,68.8,b
T,CY,2009,Y15-64,PC,ED3_4,38.2,b
T,CY,2009,Y15-64,PC,ED5-8,30.5,b
T,CY,2010,Y15-64,PC,ED0-2,29.6,
T,CY,2010,Y15-64,PC,ED3-8,70.4,
T,CY,2010,Y15-64,PC,ED3_4,38.3,
T,CY,2010,Y15-64,PC,ED5-8,32.1,
T,CY,2011,Y15-64,PC,ED0-2,28.3,
T,CY,2011,Y15-64,PC,ED3-8,71.7,
T,CY,2011,Y15-64,PC,ED3_4,38.0,
T,CY,2011,Y15-64,PC,ED5-8,33.7,
T,CY,2012,Y15-64,PC,ED0-2,26.4,
T,CY,2012,Y15-64,PC,ED3-8,73.6,
T,CY,2012,Y15-64,PC,ED3_4,38.6,
T,CY,2012,Y15-64,PC,ED5-8,35.0,
T,CY,2013,Y15-64,PC,ED0-2,25.4,
T,CY,2013,Y15-64,PC,ED3-8,74.6,
T,CY,2013,Y15-64,PC,ED3_4,39.2,
T,CY,2013,Y15-64,PC,ED5-8,35.4,
T,CY,2014,Y15-64,PC,ED0-2,26.1,b
T,CY,2014,Y15-64,PC,ED3-8,73.9,b
T,CY,2014,Y15-64,PC,ED3_4,37.5,b
T,CY,2014,Y15-64,PC,ED5-8,36.4,b
T,CY,2015,Y15-64,PC,ED0-2,25.6,
T,CY,2015,Y15-64,PC,ED3-8,74.4,
T,CY,2015,Y15-64,PC,ED3_4,38.1,
T,CY,2015,Y15-64,PC,ED5-8,36.3,
T,LV,2006,Y15-64,PC,ED0-2,24.6,
T,LV,2006,Y15-64,PC,ED3-8,75.4,
T,LV,2006,Y15-64,PC,ED3_4,58.0,
T,LV,2006,Y15-64,PC,ED5-8,17.4,
T,LV,2007,Y15-64,PC,ED0-2,24.0,
T,LV,2007,Y15-64,PC,ED3-8,76.0,
T,LV,2007,Y15-64,PC,ED3_4,57.5,
T,LV,2007,Y15-64,PC,ED5-8,18.5,
T,LV,2008,Y15-64,PC,ED0-2,22.8,
T,LV,2008,Y15-64,PC,ED3-8,77.2,
T,LV,2008,Y15-64,PC,ED3_4,56.5,
T,LV,2008,Y15-64,PC,ED5-8,20.7,
T,LV,2009,Y15-64,PC,ED0-2,21.5,
T,LV,2009,Y15-64,PC,ED3-8,78.5,
T,LV,2009,Y15-64,PC,ED3_4,57.0,
T,LV,2009,Y15-64,PC,ED5-8,21.4,
T,LV,2010,Y15-64,PC,ED0-2,19.5,
T,LV,2010,Y15-64,PC,ED3-8,80.5,
T,LV,2010,Y15-64,PC,ED3_4,57.8,
T,LV,2010,Y15-64,PC,ED5-8,22.6,
T,LV,2011,Y15-64,PC,ED0-2,19.5,
T,LV,2011,Y15-64,PC,ED3-8,80.5,
T,LV,2011,Y15-64,PC,ED3_4,56.8,
T,LV,2011,Y15-64,PC,ED5-8,23.6,
T,LV,2012,Y15-64,PC,ED0-2,17.4,
T,LV,2012,Y15-64,PC,ED3-8,82.6,
T,LV,2012,Y15-64,PC,ED3_4,57.4,
T,LV,2012,Y15-64,PC,ED5-8,25.2,
T,LV,2013,Y15-64,PC,ED0-2,16.6,
T,LV,2013,Y15-64,PC,ED3-8,83.4,
T,LV,2013,Y15-64,PC,ED3_4,56.4,
T,LV,2013,Y15-64,PC,ED5-8,27.0,
T,LV,2014,Y15-64,PC,ED0-2,16.1,b
T,LV,2014,Y15-64,PC,ED3-8,83.9,b
T,LV,2014,Y15-64,PC,ED3_4,57.0,b
T,LV,2014,Y15-64,PC,ED5-8,26.9,b
T,LV,2015,Y15-64,PC,ED0-2,15.6,
T,LV,2015,Y15-64,PC,ED3-8,84.4,
T,LV,2015,Y15-64,PC,ED3_4,56.3,
T,LV,2015,Y15-64,PC,ED5-8,28.1,
T,LT,2006,Y15-64,PC,ED0-2,20.7,
T,LT,2006,Y15-64,PC,ED3-8,79.3,
T,LT,2006,Y15-64,PC,ED3_4,57.4,
T,LT,2006,Y15-64,PC,ED5-8,22.0,
T,LT,2007,Y15-64,PC,ED0-2,19.9,
T,LT,2007,Y15-64,PC,ED3-8,80.1,
T,LT,2007,Y15-64,PC,ED3_4,56.4,
T,LT,2007,Y15-64,PC,ED5-8,23.7,
T,LT,2008,Y15-64,PC,ED0-2,18.5,
T,LT,2008,Y15-64,PC,ED3-8,81.5,
T,LT,2008,Y15-64,PC,ED3_4,56.1,
T,LT,2008,Y15-64,PC,ED5-8,25.3,
T,LT,2009,Y15-64,PC,ED0-2,18.0,
T,LT,2009,Y15-64,PC,ED3-8,82.0,
T,LT,2009,Y15-64,PC,ED3_4,56.5,
T,LT,2009,Y15-64,PC,ED5-8,25.5,
T,LT,2010,Y15-64,PC,ED0-2,17.1,
T,LT,2010,Y15-64,PC,ED3-8,82.9,
T,LT,2010,Y15-64,PC,ED3_4,56.0,
T,LT,2010,Y15-64,PC,ED5-8,26.9,
T,LT,2011,Y15-64,PC,ED0-2,15.9,
T,LT,2011,Y15-64,PC,ED3-8,84.1,
T,LT,2011,Y15-64,PC,ED3_4,56.3,
T,LT,2011,Y15-64,PC,ED5-8,27.9,
T,LT,2012,Y15-64,PC,ED0-2,15.0,
T,LT,2012,Y15-64,PC,ED3-8,85.0,
T,LT,2012,Y15-64,PC,ED3_4,56.4,
T,LT,2012,Y15-64,PC,ED5-8,28.6,
T,LT,2013,Y15-64,PC,ED0-2,14.4,
T,LT,2013,Y15-64,PC,ED3-8,85.6,
T,LT,2013,Y15-64,PC,ED3_4,55.8,
T,LT,2013,Y15-64,PC,ED5-8,29.8,
T,LT,2014,Y15-64,PC,ED0-2,14.2,b
T,LT,2014,Y15-64,PC,ED3-8,85.8,b
T,LT,2014,Y15-64,PC,ED3_4,54.3,b
T,LT,2014,Y15-64,PC,ED5-8,31.4,b
T,LT,2015,Y15-64,PC,ED0-2,13.8,
T,LT,2015,Y15-64,PC,ED3-8,86.2,
T,LT,2015,Y15-64,PC,ED3_4,53.0,
T,LT,2015,Y15-64,PC,ED5-8,33.2,
T,LU,2006,Y15-64,PC,ED0-2,39.3,
T,LU,2006,Y15-64,PC,ED3-8,60.7,
T,LU,2006,Y15-64,PC,ED3_4,40.2,
T,LU,2006,Y15-64,PC,ED5-8,20.5,
T,LU,2007,Y15-64,PC,ED0-2,38.7,b
T,LU,2007,Y15-64,PC,ED3-8,61.3,b
T,LU,2007,Y15-64,PC,ED3_4,38.6,b
T,LU,2007,Y15-64,PC,ED5-8,22.7,b
T,LU,2008,Y15-64,PC,ED0-2,36.8,
T,LU,2008,Y15-64,PC,ED3-8,63.2,
T,LU,2008,Y15-64,PC,ED3_4,39.5,
T,LU,2008,Y15-64,PC,ED5-8,23.7,
T,LU,2009,Y15-64,PC,ED0-2,28.5,b
T,LU,2009,Y15-64,PC,ED3-8,71.5,b
T,LU,2009,Y15-64,PC,ED3_4,41.3,b
T,LU,2009,Y15-64,PC,ED5-8,30.2,b
T,LU,2010,Y15-64,PC,ED0-2,28.9,
T,LU,2010,Y15-64,PC,ED3-8,71.1,
T,LU,2010,Y15-64,PC,ED3_4,40.8,
T,LU,2010,Y15-64,PC,ED5-8,30.3,
T,LU,2011,Y15-64,PC,ED0-2,29.1,
T,LU,2011,Y15-64,PC,ED3-8,70.9,
T,LU,2011,Y15-64,PC,ED3_4,39.3,
T,LU,2011,Y15-64,PC,ED5-8,31.7,
T,LU,2012,Y15-64,PC,ED0-2,28.4,
T,LU,2012,Y15-64,PC,ED3-8,71.6,
T,LU,2012,Y15-64,PC,ED3_4,38.2,
T,LU,2012,Y15-64,PC,ED5-8,33.4,
T,LU,2013,Y15-64,PC,ED0-2,26.1,
T,LU,2013,Y15-64,PC,ED3-8,73.9,
T,LU,2013,Y15-64,PC,ED3_4,38.6,
T,LU,2013,Y15-64,PC,ED5-8,35.2,
T,LU,2014,Y15-64,PC,ED0-2,24.9,b
T,LU,2014,Y15-64,PC,ED3-8,75.1,b
T,LU,2014,Y15-64,PC,ED3_4,35.5,b
T,LU,2014,Y15-64,PC,ED5-8,39.6,b
T,LU,2015,Y15-64,PC,ED0-2,30.3,b
T,LU,2015,Y15-64,PC,ED3-8,69.7,b
T,LU,2015,Y15-64,PC,ED3_4,34.5,b
T,LU,2015,Y15-64,PC,ED5-8,35.2,b
T,HU,2006,Y15-64,PC,ED0-2,27.3,
T,HU,2006,Y15-64,PC,ED3-8,72.7,
T,HU,2006,Y15-64,PC,ED3_4,57.7,
T,HU,2006,Y15-64,PC,ED5-8,15.0,
T,HU,2007,Y15-64,PC,ED0-2,26.3,
T,HU,2007,Y15-64,PC,ED3-8,73.7,
T,HU,2007,Y15-64,PC,ED3_4,58.3,
T,HU,2007,Y15-64,PC,ED5-8,15.4,
T,HU,2008,Y15-64,PC,ED0-2,25.8,
T,HU,2008,Y15-64,PC,ED3-8,74.2,
T,HU,2008,Y15-64,PC,ED3_4,57.8,
T,HU,2008,Y15-64,PC,ED5-8,16.4,
T,HU,2009,Y15-64,PC,ED0-2,25.0,
T,HU,2009,Y15-64,PC,ED3-8,75.0,
T,HU,2009,Y15-64,PC,ED3_4,58.1,
T,HU,2009,Y15-64,PC,ED5-8,16.9,
T,HU,2010,Y15-64,PC,ED0-2,24.4,
T,HU,2010,Y15-64,PC,ED3-8,75.6,
T,HU,2010,Y15-64,PC,ED3_4,58.5,
T,HU,2010,Y15-64,PC,ED5-8,17.1,
T,HU,2011,Y15-64,PC,ED0-2,24.3,
T,HU,2011,Y15-64,PC,ED3-8,75.7,
T,HU,2011,Y15-64,PC,ED3_4,57.7,
T,HU,2011,Y15-64,PC,ED5-8,18.0,
T,HU,2012,Y15-64,PC,ED0-2,23.5,
T,HU,2012,Y15-64,PC,ED3-8,76.5,
T,HU,2012,Y15-64,PC,ED3_4,57.5,
T,HU,2012,Y15-64,PC,ED5-8,19.0,
T,HU,2013,Y15-64,PC,ED0-2,22.8,
T,HU,2013,Y15-64,PC,ED3-8,77.2,
T,HU,2013,Y15-64,PC,ED3_4,57.8,
T,HU,2013,Y15-64,PC,ED5-8,19.5,
T,HU,2014,Y15-64,PC,ED0-2,22.0,b
T,HU,2014,Y15-64,PC,ED3-8,78.0,b
T,HU,2014,Y15-64,PC,ED3_4,57.7,b
T,HU,2014,Y15-64,PC,ED5-8,20.2,b
T,HU,2015,Y15-64,PC,ED0-2,21.9,
T,HU,2015,Y15-64,PC,ED3-8,78.1,
T,HU,2015,Y15-64,PC,ED3_4,57.2,
T,HU,2015,Y15-64,PC,ED5-8,20.9,
T,MT,2006,Y15-64,PC,ED0-2,67.5,
T,MT,2006,Y15-64,PC,ED3-8,32.5,
T,MT,2006,Y15-64,PC,ED3_4,21.5,
T,MT,2006,Y15-64,PC,ED5-8,11.1,
T,MT,2007,Y15-64,PC,ED0-2,67.3,
T,MT,2007,Y15-64,PC,ED3-8,32.7,
T,MT,2007,Y15-64,PC,ED3_4,21.0,
T,MT,2007,Y15-64,PC,ED5-8,11.7,
T,MT,2008,Y15-64,PC,ED0-2,65.1,
T,MT,2008,Y15-64,PC,ED3-8,34.9,
T,MT,2008,Y15-64,PC,ED3_4,22.8,
T,MT,2008,Y15-64,PC,ED5-8,12.1,
T,MT,2009,Y15-64,PC,ED0-2,62.0,
T,MT,2009,Y15-64,PC,ED3-8,38.0,
T,MT,2009,Y15-64,PC,ED3_4,25.2,
T,MT,2009,Y15-64,PC,ED5-8,12.8,
T,MT,2010,Y15-64,PC,ED0-2,60.3,
T,MT,2010,Y15-64,PC,ED3-8,39.7,
T,MT,2010,Y15-64,PC,ED3_4,25.6,
T,MT,2010,Y15-64,PC,ED5-8,14.2,
T,MT,2011,Y15-64,PC,ED0-2,58.9,b
T,MT,2011,Y15-64,PC,ED3-8,41.1,b
T,MT,2011,Y15-64,PC,ED3_4,26.0,b
T,MT,2011,Y15-64,PC,ED5-8,15.1,b
T,MT,2012,Y15-64,PC,ED0-2,56.7,
T,MT,2012,Y15-64,PC,ED3-8,43.3,
T,MT,2012,Y15-64,PC,ED3_4,26.9,
T,MT,2012,Y15-64,PC,ED5-8,16.4,
T,MT,2013,Y15-64,PC,ED0-2,54.9,
T,MT,2013,Y15-64,PC,ED3-8,45.1,
T,MT,2013,Y15-64,PC,ED3_4,27.9,
T,MT,2013,Y15-64,PC,ED5-8,17.2,
T,MT,2014,Y15-64,PC,ED0-2,53.6,b
T,MT,2014,Y15-64,PC,ED3-8,46.4,b
T,MT,2014,Y15-64,PC,ED3_4,28.4,b
T,MT,2014,Y15-64,PC,ED5-8,18.0,b
T,MT,2015,Y15-64,PC,ED0-2,52.4,
T,MT,2015,Y15-64,PC,ED3-8,47.6,
T,MT,2015,Y15-64,PC,ED3_4,29.5,
T,MT,2015,Y15-64,PC,ED5-8,18.1,
T,NL,2006,Y15-64,PC,ED0-2,32.3,
T,NL,2006,Y15-64,PC,ED3-8,67.7,
T,NL,2006,Y15-64,PC,ED3_4,41.5,
T,NL,2006,Y15-64,PC,ED5-8,26.2,
T,NL,2007,Y15-64,PC,ED0-2,31.5,
T,NL,2007,Y15-64,PC,ED3-8,68.5,
T,NL,2007,Y15-64,PC,ED3_4,41.9,
T,NL,2007,Y15-64,PC,ED5-8,26.7,
T,NL,2008,Y15-64,PC,ED0-2,31.3,
T,NL,2008,Y15-64,PC,ED3-8,68.7,
T,NL,2008,Y15-64,PC,ED3_4,40.8,
T,NL,2008,Y15-64,PC,ED5-8,27.8,
T,NL,2009,Y15-64,PC,ED0-2,31.2,
T,NL,2009,Y15-64,PC,ED3-8,68.8,
T,NL,2009,Y15-64,PC,ED3_4,40.4,
T,NL,2009,Y15-64,PC,ED5-8,28.4,
